label,sentence
0," It is in a German-speaking country--in Bohemia, not far from Carlsbad."
0," Remarkable as being the scene of the death of Wallenstein, and for its numerous glass-factories and paper-mills."
0," Ha, ha, my boy, what do you make of that? His eyes sparkled, and he sent up a great blue triumphant cloud from his cigarette."
0," The paper was made in Bohemia, I said."
0, Precisely.
0, And the man who wrote the note is a German.
0, Do you note the peculiar construction of the sentence--This account of you we have from all quarters received.
0, A Frenchman or Russian could not have written that.
0, It is the German who is so uncourteous to his verbs.
0," It only remains, therefore, to discover what is wanted by this German who writes upon Bohemian paper and prefers wearing a mask to showing his face."
0," And here he comes, if I am not mistaken, to resolve all our doubts."
0," As he spoke there was the sharp sound of horses hoofs and grating wheels against the curb, followed by a sharp pull at the bell."
0, Holmes whistled.
0," A pair, by the sound, said he."
0," Yes, he continued, glancing out of the window."
0, A nice little brougham and a pair of beauties.
0, A hundred and fifty guineas apiece.
0," Theres money in this case, Watson, if there is nothing else."
0," I think that I had better go, Holmes."
0," Not a bit, Doctor."
0, Stay where you are.
0, I am lost without my Boswell.
0, And this promises to be interesting.
0, It would be a pity to miss it.
0, But your client-- Never mind him.
0," I may want your help, and so may he."
0, Here he comes.
0," Sit down in that armchair, Doctor, and give us your best attention."
0," A slow and heavy step, which had been heard upon the stairs and in the passage, paused immediately outside the door."
0, Then there was a loud and authoritative tap.
0, Come in! said Holmes.
0," A man entered who could hardly have been less than six feet six inches in height, with the chest and limbs of a Hercules."
0," His dress was rich with a richness which would, in England, be looked upon as akin to bad taste."
0," Heavy bands of astrakhan were slashed across the sleeves and fronts of his double-breasted coat, while the deep blue cloak which was thrown over his shoulders was lined with flame-coloured silk and secured at the neck with a brooch which consisted of a single flaming beryl."
0," Boots which extended halfway up his calves, and which were trimmed at the tops with rich brown fur, completed the impression of barbaric opulence which was suggested by his whole appearance."
0," He carried a broad-brimmed hat in his hand, while he wore across the upper part of his face, extending down past the cheekbones, a black vizard mask, which he had apparently adjusted that very moment, for his hand was still raised to it as he entered."
0," From the lower part of the face he appeared to be a man of strong character, with a thick, hanging lip, and a long, straight chin suggestive of resolution pushed to the length of obstinacy."
0, You had my note? he asked with a deep harsh voice and a strongly marked German accent.
0, I told you that I would call.
0," He looked from one to the other of us, as if uncertain which to address."
0," Pray take a seat, said Holmes."
0," This is my friend and colleague, Dr."
0," Watson, who is occasionally good enough to help me in my cases."
0," Whom have I the honour to address? You may address me as the Count Von Kramm, a Bohemian nobleman."
0," I understand that this gentleman, your friend, is a man of honour and discretion, whom I may trust with a matter of the most extreme importance."
0," If not, I should much prefer to communicate with you alone."
0," I rose to go, but Holmes caught me by the wrist and pushed me back into my chair."
0," It is both, or none, said he."
0, You may say before this gentleman anything which you may say to me.
0, The Count shrugged his broad shoulders.
0," Then I must begin, said he, by binding you both to absolute secrecy for two years; at the end of that time the matter will be of no importance."
0, At present it is not too much to say that it is of such weight it may have an influence upon European history.
0," I promise, said Holmes."
0, And I.
0," You will excuse this mask, continued our strange visitor."
0," The august person who employs me wishes his agent to be unknown to you, and I may confess at once that the title by which I have just called myself is not exactly my own."
0," I was aware of it, said Holmes dryly."
0," The circumstances are of great delicacy, and every precaution has to be taken to quench what might grow to be an immense scandal and seriously compromise one of the reigning families of Europe."
0," To speak plainly, the matter implicates the great House of Ormstein, hereditary kings of Bohemia."
0," I was also aware of that, murmured Holmes, settling himself down in his armchair and closing his eyes."
0," Our visitor glanced with some apparent surprise at the languid, lounging figure of the man who had been no doubt depicted to him as the most incisive reasoner and most energetic agent in Europe."
0, Holmes slowly reopened his eyes and looked impatiently at his gigantic client.
0," If your Majesty would condescend to state your case, he remarked, I should be better able to advise you."
0, The man sprang from his chair and paced up and down the room in uncontrollable agitation.
0," Then, with a gesture of desperation, he tore the mask from his face and hurled it upon the ground."
0," You are right, he cried; I am the King."
0," Why should I attempt to conceal it? Why, indeed? murmured Holmes."
0," Your Majesty had not spoken before I was aware that I was addressing Wilhelm Gottsreich Sigismond von Ormstein, Grand Duke of Cassel-Felstein, and hereditary King of Bohemia."
0," But you can understand, said our strange visitor, sitting down once more and passing his hand over his high white forehead, you can understand that I am not accustomed to doing such business in my own person."
0, Yet the matter was so delicate that I could not confide it to an agent without putting myself in his power.
0, I have come incognito from Prague for the purpose of consulting you.
0," Then, pray consult, said Holmes, shutting his eyes once more."
0," The facts are briefly these: Some five years ago, during a lengthy visit to Warsaw, I made the acquaintance of the well-known adventuress, Irene Adler."
0, The name is no doubt familiar to you.
0," Kindly look her up in my index, Doctor, murmured Holmes without opening his eyes."
0," For many years he had adopted a system of docketing all paragraphs concerning men and things, so that it was difficult to name a subject or a person on which he could not at once furnish information."
0, In this case I found her biography sandwiched in between that of a Hebrew rabbi and that of a staff-commander who had written a monograph upon the deep-sea fishes.
0, Let me see! said Holmes.
0, Hum! Born in New Jersey in the year 1858.
0," Contralto--hum! La Scala, hum! Prima donna Imperial Opera of Warsaw--yes! Retired from operatic stage--ha! Living in London--quite so! Your Majesty, as I understand, became entangled with this young person, wrote her some compromising letters, and is now desirous of getting those letters back."
0, Precisely so.
0, But how-- Was there a secret marriage? None.
0, No legal papers or certificates? None.
0, Then I fail to follow your Majesty.
0," If this young person should produce her letters for blackmailing or other purposes, how is she to prove their authenticity? There is the writing."
0," Pooh, pooh! Forgery."
0, My private note-paper.
0, Stolen.
0, My own seal.
0, Imitated.
0, My photograph.
0, Bought.
0, We were both in the photograph.
0," Oh, dear! That is very bad! Your Majesty has indeed committed an indiscretion."
0, I was mad--insane.
0, You have compromised yourself seriously.
0, I was only Crown Prince then.
0, I was young.
0, I am but thirty now.
0, It must be recovered.
0, We have tried and failed.
0, Your Majesty must pay.
0, It must be bought.
0, She will not sell.
0," Stolen, then."
0, Five attempts have been made.
0, Twice burglars in my pay ransacked her house.
0, Once we diverted her luggage when she travelled.
0, Twice she has been waylaid.
0, There has been no result.
0, No sign of it? Absolutely none.
0, Holmes laughed.
0," It is quite a pretty little problem, said he."
0," But a very serious one to me, returned the King reproachfully."
0," Very, indeed."
0, And what does she propose to do with the photograph? To ruin me.
0, But how? I am about to be married.
0, So I have heard.
0," To Clotilde Lothman von Saxe-Meningen, second daughter of the King of Scandinavia."
0, You may know the strict principles of her family.
0, She is herself the very soul of delicacy.
0, A shadow of a doubt as to my conduct would bring the matter to an end.
0, And Irene Adler? Threatens to send them the photograph.
0, And she will do it.
0, I know that she will do it.
0," You do not know her, but she has a soul of steel."
0," She has the face of the most beautiful of women, and the mind of the most resolute of men."
0," Rather than I should marry another woman, there are no lengths to which she would not go--none."
0, You are sure that she has not sent it yet? I am sure.
0, And why? Because she has said that she would send it on the day when the betrothal was publicly proclaimed.
0, That will be next Monday.
0," Oh, then we have three days yet, said Holmes with a yawn."
0," That is very fortunate, as I have one or two matters of importance to look into just at present."
0," Your Majesty will, of course, stay in London for the present? Certainly."
0, You will find me at the Langham under the name of the Count Von Kramm.
0, Then I shall drop you a line to let you know how we progress.
0, Pray do so.
0, I shall be all anxiety.
0," Then, as to money? You have carte blanche."
0, Absolutely? I tell you that I would give one of the provinces of my kingdom to have that photograph.
0, And for present expenses? The King took a heavy chamois leather bag from under his cloak and laid it on the table.
0," There are three hundred pounds in gold and seven hundred in notes, he said."
0, Holmes scribbled a receipt upon a sheet of his note-book and handed it to him.
0, And Mademoiselles address? he asked.
0," Is Briony Lodge, Serpentine Avenue, St."
0, Johns Wood.
0, Holmes took a note of it.
0," One other question, said he."
0, Was the photograph a cabinet? It was.
0," Then, good-night, your Majesty, and I trust that we shall soon have some good news for you."
0," And good-night, Watson, he added, as the wheels of the royal brougham rolled down the street."
0, If you will be good enough to call to-morrow afternoon at three oclock I should like to chat this little matter over with you.
0,"  CHAPTER II At three oclock precisely I was at Baker Street, but Holmes had not yet returned."
0, The landlady informed me that he had left the house shortly after eight oclock in the morning.
0," I sat down beside the fire, however, with the intention of awaiting him, however long he might be."
0," I was already deeply interested in his inquiry, for, though it was surrounded by none of the grim and strange features which were associated with the two crimes which I have already recorded, still, the nature of the case and the exalted station of his client gave it a character of its own."
0," Indeed, apart from the nature of the investigation which my friend had on hand, there was something in his masterly grasp of a situation, and his keen, incisive reasoning, which made it a pleasure to me to study his system of work, and to follow the quick, subtle methods by which he disentangled the most inextricable mysteries."
0, So accustomed was I to his invariable success that the very possibility of his failing had ceased to enter into my head.
0," It was close upon four before the door opened, and a drunken-looking groom, ill-kempt and side-whiskered, with an inflamed face and disreputable clothes, walked into the room."
0," Accustomed as I was to my friends amazing powers in the use of disguises, I had to look three times before I was certain that it was indeed he."
0," With a nod he vanished into the bedroom, whence he emerged in five minutes tweed-suited and respectable, as of old."
0," Putting his hands into his pockets, he stretched out his legs in front of the fire and laughed heartily for some minutes."
0," Well, really! he cried, and then he choked and laughed again until he was obliged to lie back, limp and helpless, in the chair."
0, What is it? Its quite too funny.
0," I am sure you could never guess how I employed my morning, or what I ended by doing."
0, I cant imagine.
0," I suppose that you have been watching the habits, and perhaps the house, of Miss Irene Adler."
0, Quite so; but the sequel was rather unusual.
0," I will tell you, however."
0, I left the house a little after eight oclock this morning in the character of a groom out of work.
0, There is a wonderful sympathy and freemasonry among horsey men.
0," Be one of them, and you will know all that there is to know."
0, I soon found Briony Lodge.
0," It is a bijou villa, with a garden at the back, but built out in front right up to the road, two stories."
0, Chubb lock to the door.
0," Large sitting-room on the right side, well furnished, with long windows almost to the floor, and those preposterous English window fasteners which a child could open."
0," Behind there was nothing remarkable, save that the passage window could be reached from the top of the coach-house."
0," I walked round it and examined it closely from every point of view, but without noting anything else of interest."
0," I then lounged down the street and found, as I expected, that there was a mews in a lane which runs down by one wall of the garden."
0," I lent the ostlers a hand in rubbing down their horses, and received in exchange twopence, a glass of half and half, two fills of shag tobacco, and as much information as I could desire about Miss Adler, to say nothing of half a dozen other people in the neighbourhood in whom I was not in the least interested, but whose biographies I was compelled to listen to."
0, And what of Irene Adler? I asked.
0," Oh, she has turned all the mens heads down in that part."
0, She is the daintiest thing under a bonnet on this planet.
0," So say the Serpentine-mews, to a man."
0," She lives quietly, sings at concerts, drives out at five every day, and returns at seven sharp for dinner."
0," Seldom goes out at other times, except when she sings."
0," Has only one male visitor, but a good deal of him."
0," He is dark, handsome, and dashing, never calls less than once a day, and often twice."
0, He is a Mr.
0," Godfrey Norton, of the Inner Temple."
0, See the advantages of a cabman as a confidant.
0," They had driven him home a dozen times from Serpentine-mews, and knew all about him."
0," When I had listened to all they had to tell, I began to walk up and down near Briony Lodge once more, and to think over my plan of campaign."
0, This Godfrey Norton was evidently an important factor in the matter.
0, He was a lawyer.
0, That sounded ominous.
0," What was the relation between them, and what the object of his repeated visits? Was she his client, his friend, or his mistress? If the former, she had probably transferred the photograph to his keeping."
0," If the latter, it was less likely."
0," On the issue of this question depended whether I should continue my work at Briony Lodge, or turn my attention to the gentlemans chambers in the Temple."
0," It was a delicate point, and it widened the field of my inquiry."
0," I fear that I bore you with these details, but I have to let you see my little difficulties, if you are to understand the situation."
0," I am following you closely, I answered."
0," I was still balancing the matter in my mind when a hansom cab drove up to Briony Lodge, and a gentleman sprang out."
0," He was a remarkably handsome man, dark, aquiline, and moustached--evidently the man of whom I had heard."
0," He appeared to be in a great hurry, shouted to the cabman to wait, and brushed past the maid who opened the door with the air of a man who was thoroughly at home."
0," He was in the house about half an hour, and I could catch glimpses of him in the windows of the sitting-room, pacing up and down, talking excitedly, and waving his arms."
0, Of her I could see nothing.
0," Presently he emerged, looking even more flurried than before."
0," As he stepped up to the cab, he pulled a gold watch from his pocket and looked at it earnestly, Drive like the devil, he shouted, first to Gross & Hankeys in Regent Street, and then to the Church of St."
0, Monica in the Edgeware Road.
0," Half a guinea if you do it in twenty minutes! Away they went, and I was just wondering whether I should not do well to follow them when up the lane came a neat little landau, the coachman with his coat only half-buttoned, and his tie under his ear, while all the tags of his harness were sticking out of the buckles."
0, It hadnt pulled up before she shot out of the hall door and into it.
0," I only caught a glimpse of her at the moment, but she was a lovely woman, with a face that a man might die for."
0, The Church of St.
0," Monica, John, she cried, and half a sovereign if you reach it in twenty minutes."
0," This was quite too good to lose, Watson."
0," I was just balancing whether I should run for it, or whether I should perch behind her landau when a cab came through the street."
0," The driver looked twice at such a shabby fare, but I jumped in before he could object."
0, The Church of St.
0," Monica, said I, and half a sovereign if you reach it in twenty minutes."
0," It was twenty-five minutes to twelve, and of course it was clear enough what was in the wind."
0, My cabby drove fast.
0," I dont think I ever drove faster, but the others were there before us."
0, The cab and the landau with their steaming horses were in front of the door when I arrived.
0, I paid the man and hurried into the church.
0," There was not a soul there save the two whom I had followed and a surpliced clergyman, who seemed to be expostulating with them."
0, They were all three standing in a knot in front of the altar.
0, I lounged up the side aisle like any other idler who has dropped into a church.
0," Suddenly, to my surprise, the three at the altar faced round to me, and Godfrey Norton came running as hard as he could towards me."
0," Thank God, he cried."
0, Youll do.
0, Come! Come! What then? I asked.
0," Come, man, come, only three minutes, or it wont be legal."
0," I was half-dragged up to the altar, and before I knew where I was I found myself mumbling responses which were whispered in my ear, and vouching for things of which I knew nothing, and generally assisting in the secure tying up of Irene Adler, spinster, to Godfrey Norton, bachelor."
0," It was all done in an instant, and there was the gentleman thanking me on the one side and the lady on the other, while the clergyman beamed on me in front."
0," It was the most preposterous position in which I ever found myself in my life, and it was the thought of it that started me laughing just now."
0," It seems that there had been some informality about their license, that the clergyman absolutely refused to marry them without a witness of some sort, and that my lucky appearance saved the bridegroom from having to sally out into the streets in search of a best man."
0," The bride gave me a sovereign, and I mean to wear it on my watch-chain in memory of the occasion."
0," This is a very unexpected turn of affairs, said I; and what then? Well, I found my plans very seriously menaced."
0," It looked as if the pair might take an immediate departure, and so necessitate very prompt and energetic measures on my part."
0," At the church door, however, they separated, he driving back to the Temple, and she to her own house."
0," I shall drive out in the park at five as usual, she said as she left him."
0, I heard no more.
0," They drove away in different directions, and I went off to make my own arrangements."
0," Which are? Some cold beef and a glass of beer, he answered, ringing the bell."
0," I have been too busy to think of food, and I am likely to be busier still this evening."
0," By the way, Doctor, I shall want your co-operation."
0, I shall be delighted.
0, You dont mind breaking the law? Not in the least.
0, Nor running a chance of arrest? Not in a good cause.
0," Oh, the cause is excellent! Then I am your man."
0, I was sure that I might rely on you.
0, But what is it you wish? When Mrs.
0, Turner has brought in the tray I will make it clear to you.
0," Now, he said as he turned hungrily on the simple fare that our landlady had provided, I must discuss it while I eat, for I have not much time."
0, It is nearly five now.
0, In two hours we must be on the scene of action.
0," Miss Irene, or Madame, rather, returns from her drive at seven."
0, We must be at Briony Lodge to meet her.
0, And what then? You must leave that to me.
0, I have already arranged what is to occur.
0, There is only one point on which I must insist.
0," You must not interfere, come what may."
0, You understand? I am to be neutral? To do nothing whatever.
0, There will probably be some small unpleasantness.
0, Do not join in it.
0, It will end in my being conveyed into the house.
0, Four or five minutes afterwards the sitting-room window will open.
0, You are to station yourself close to that open window.
0, Yes.
0," You are to watch me, for I will be visible to you."
0, Yes.
0," And when I raise my hand--so--you will throw into the room what I give you to throw, and will, at the same time, raise the cry of fire."
0, You quite follow me? Entirely.
0," It is nothing very formidable, he said, taking a long cigar-shaped roll from his pocket."
0," It is an ordinary plumbers smoke-rocket, fitted with a cap at either end to make it self-lighting."
0, Your task is confined to that.
0," When you raise your cry of fire, it will be taken up by quite a number of people."
0," You may then walk to the end of the street, and I will rejoin you in ten minutes."
0," I hope that I have made myself clear? I am to remain neutral, to get near the window, to watch you, and at the signal to throw in this object, then to raise the cry of fire, and to wait you at the corner of the street."
0, Precisely.
0, Then you may entirely rely on me.
0, That is excellent.
0," I think, perhaps, it is almost time that I prepare for the new role I have to play."
0, He disappeared into his bedroom and returned in a few minutes in the character of an amiable and simple-minded Nonconformist clergyman.
0," His broad black hat, his baggy trousers, his white tie, his sympathetic smile, and general look of peering and benevolent curiosity were such as Mr."
0, John Hare alone could have equalled.
0, It was not merely that Holmes changed his costume.
0," His expression, his manner, his very soul seemed to vary with every fresh part that he assumed."
0," The stage lost a fine actor, even as science lost an acute reasoner, when he became a specialist in crime."
0," It was a quarter past six when we left Baker Street, and it still wanted ten minutes to the hour when we found ourselves in Serpentine Avenue."
0," It was already dusk, and the lamps were just being lighted as we paced up and down in front of Briony Lodge, waiting for the coming of its occupant."
0," The house was just such as I had pictured it from Sherlock Holmes succinct description, but the locality appeared to be less private than I expected."
0," On the contrary, for a small street in a quiet neighbourhood, it was remarkably animated."
0," There was a group of shabbily dressed men smoking and laughing in a corner, a scissors-grinder with his wheel, two guardsmen who were flirting with a nurse-girl, and several well-dressed young men who were lounging up and down with cigars in their mouths."
0," You see, remarked Holmes, as we paced to and fro in front of the house, this marriage rather simplifies matters."
0, The photograph becomes a double-edged weapon now.
0, The chances are that she would be as averse to its being seen by Mr.
0," Godfrey Norton, as our client is to its coming to the eyes of his princess."
0," Now the question is--Where are we to find the photograph? Where, indeed? It is most unlikely that she carries it about with her."
0, It is cabinet size.
0, Too large for easy concealment about a womans dress.
0, She knows that the King is capable of having her waylaid and searched.
0, Two attempts of the sort have already been made.
0," We may take it, then, that she does not carry it about with her."
0," Where, then? Her banker or her lawyer."
0, There is that double possibility.
0, But I am inclined to think neither.
0," Women are naturally secretive, and they like to do their own secreting."
0," Why should she hand it over to anyone else? She could trust her own guardianship, but she could not tell what indirect or political influence might be brought to bear upon a business man."
0," Besides, remember that she had resolved to use it within a few days."
0, It must be where she can lay her hands upon it.
0, It must be in her own house.
0, But it has twice been burgled.
0, Pshaw! They did not know how to look.
0, But how will you look? I will not look.
0, What then? I will get her to show me.
0, But she will refuse.
0, She will not be able to.
0, But I hear the rumble of wheels.
0, It is her carriage.
0, Now carry out my orders to the letter.
0, As he spoke the gleam of the side-lights of a carriage came round the curve of the avenue.
0, It was a smart little landau which rattled up to the door of Briony Lodge.
0," As it pulled up, one of the loafing men at the corner dashed forward to open the door in the hope of earning a copper, but was elbowed away by another loafer, who had rushed up with the same intention."
0," A fierce quarrel broke out, which was increased by the two guardsmen, who took sides with one of the loungers, and by the scissors-grinder, who was equally hot upon the other side."
0," A blow was struck, and in an instant the lady, who had stepped from her carriage, was the centre of a little knot of flushed and struggling men, who struck savagely at each other with their fists and sticks."
0," Holmes dashed into the crowd to protect the lady; but just as he reached her he gave a cry and dropped to the ground, with the blood running freely down his face."
0," At his fall the guardsmen took to their heels in one direction and the loungers in the other, while a number of better-dressed people, who had watched the scuffle without taking part in it, crowded in to help the lady and to attend to the injured man."
0," Irene Adler, as I will still call her, had hurried up the steps; but she stood at the top with her superb figure outlined against the lights of the hall, looking back into the street."
0, Is the poor gentleman much hurt? she asked.
0," He is dead, cried several voices."
0," No, no, theres life in him! shouted another."
0, But hell be gone before you can get him to hospital.
0," Hes a brave fellow, said a woman."
0, They would have had the ladys purse and watch if it hadnt been for him.
0," They were a gang, and a rough one, too."
0," Ah, hes breathing now."
0, He cant lie in the street.
0," May we bring him in, marm? Surely."
0, Bring him into the sitting-room.
0, There is a comfortable sofa.
0," This way, please! Slowly and solemnly he was borne into Briony Lodge and laid out in the principal room, while I still observed the proceedings from my post by the window."
0," The lamps had been lit, but the blinds had not been drawn, so that I could see Holmes as he lay upon the couch."
0," I do not know whether he was seized with compunction at that moment for the part he was playing, but I know that I never felt more heartily ashamed of myself in my life than when I saw the beautiful creature against whom I was conspiring, or the grace and kindliness with which she waited upon the injured man."
0, And yet it would be the blackest treachery to Holmes to draw back now from the part which he had intrusted to me.
0," I hardened my heart, and took the smoke-rocket from under my ulster."
0," After all, I thought, we are not injuring her."
0, We are but preventing her from injuring another.
0," Holmes had sat up upon the couch, and I saw him motion like a man who is in need of air."
0, A maid rushed across and threw open the window.
0," At the same instant I saw him raise his hand and at the signal I tossed my rocket into the room with a cry of Fire! The word was no sooner out of my mouth than the whole crowd of spectators, well dressed and ill--gentlemen, ostlers, and servant-maids--joined in a general shriek of Fire! Thick clouds of smoke curled through the room and out at the open window."
0," I caught a glimpse of rushing figures, and a moment later the voice of Holmes from within assuring them that it was a false alarm."
0," Slipping through the shouting crowd I made my way to the corner of the street, and in ten minutes was rejoiced to find my friends arm in mine, and to get away from the scene of uproar."
0, He walked swiftly and in silence for some few minutes until we had turned down one of the quiet streets which lead towards the Edgeware Road.
0," You did it very nicely, Doctor, he remarked."
0, Nothing could have been better.
0, It is all right.
0, You have the photograph? I know where it is.
0," And how did you find out? She showed me, as I told you she would."
0, I am still in the dark.
0," I do not wish to make a mystery, said he, laughing."
0, The matter was perfectly simple.
0," You, of course, saw that everyone in the street was an accomplice."
0, They were all engaged for the evening.
0, I guessed as much.
0," Then, when the row broke out, I had a little moist red paint in the palm of my hand."
0," I rushed forward, fell down, clapped my hand to my face, and became a piteous spectacle."
0, It is an old trick.
0, That also I could fathom.
0, Then they carried me in.
0, She was bound to have me in.
0," What else could she do? And into her sitting-room, which was the very room which I suspected."
0," It lay between that and her bedroom, and I was determined to see which."
0," They laid me on a couch, I motioned for air, they were compelled to open the window, and you had your chance."
0, How did that help you? It was all-important.
0," When a woman thinks that her house is on fire, her instinct is at once to rush to the thing which she values most."
0," It is a perfectly overpowering impulse, and I have more than once taken advantage of it."
0," In the case of the Darlington substitution scandal it was of use to me, and also in the Arnsworth Castle business."
0, A married woman grabs at her baby; an unmarried one reaches for her jewel-box.
0, Now it was clear to me that our lady of to-day had nothing in the house more precious to her than what we are in quest of.
0, She would rush to secure it.
0, The alarm of fire was admirably done.
0, The smoke and shouting were enough to shake nerves of steel.
0, She responded beautifully.
0, The photograph is in a recess behind a sliding panel just above the right bell-pull.
0," She was there in an instant, and I caught a glimpse of it as she half-drew it out."
0," When I cried out that it was a false alarm, she replaced it, glanced at the rocket, rushed from the room, and I have not seen her since."
0," I rose, and, making my excuses, escaped from the house."
0," I hesitated whether to attempt to secure the photograph at once; but the coachman had come in, and as he was watching me narrowly it seemed safer to wait."
0, A little over-precipitance may ruin all.
0, And now? I asked.
0, Our quest is practically finished.
0," I shall call with the King to-morrow, and with you, if you care to come with us."
0," We will be shown into the sitting-room to wait for the lady, but it is probable that when she comes she may find neither us nor the photograph."
0, It might be a satisfaction to his Majesty to regain it with his own hands.
